block,block_n,word_n,trial,stim_fr,stim_eng,animal,color,country,fruit,body,family,cat_to_memorize1,cat_to_memorize2,cat_to_memorize3,cat_to_memorize4,cat_to_memorize5
test,1,2,1,cheval,horse,NA,NA,NA,NA,NA,NA,family,color,NA,NA,NA
test,1,2,2,mère,mother,NA,NA,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,3,jambe,leg,NA,NA,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,4,jaune,yellow,NA,yellow,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,5,vert,green,NA,green,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,6,rouge,red,NA,red,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,7,bleu,blue,NA,blue,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,8,loup,wolf,NA,blue,NA,NA,NA,mother,family,color,NA,NA,NA
test,1,2,9,frère,brother,NA,blue,NA,NA,NA,brother,family,color,NA,NA,NA
test,1,2,10,blanc,white,NA,white,NA,NA,NA,brother,family,color,NA,NA,NA
test,1,2,11,bras,arm,NA,white,NA,NA,NA,brother,family,color,NA,NA,NA
test,1,2,12,violet,purple,NA,purple,NA,NA,NA,brother,family,color,NA,NA,NA
test,2,2,1,soeur,sister,NA,NA,NA,NA,NA,NA,animal,fruit,NA,NA,NA
test,2,2,2,vert,green,NA,NA,NA,NA,NA,NA,animal,fruit,NA,NA,NA
test,2,2,3,lion,lion,lion,NA,NA,NA,NA,NA,animal,fruit,NA,NA,NA
test,2,2,4,pomme,apple,lion,NA,NA,apple,NA,NA,animal,fruit,NA,NA,NA
test,2,2,5,fraise,strawberry,lion,NA,NA,strawberry,NA,NA,animal,fruit,NA,NA,NA
test,2,2,6,chien,dog,dog,NA,NA,strawberry,NA,NA,animal,fruit,NA,NA,NA
test,2,2,7,melon,melon,dog,NA,NA,melon,NA,NA,animal,fruit,NA,NA,NA
test,2,2,8,banane,banana,dog,NA,NA,banana,NA,NA,animal,fruit,NA,NA,NA
test,2,2,9,loup,wolf,wolf,NA,NA,banana,NA,NA,animal,fruit,NA,NA,NA
test,2,2,10,bras,arm,wolf,NA,NA,banana,NA,NA,animal,fruit,NA,NA,NA
test,2,2,11,abricot,apricot,wolf,NA,NA,apricot,NA,NA,animal,fruit,NA,NA,NA
test,2,2,12,rouge,red,wolf,NA,NA,apricot,NA,NA,animal,fruit,NA,NA,NA
test,3,3,1,poire,pear,NA,NA,NA,pear,NA,NA,fruit,family,animal,NA,NA
test,3,3,2,rouge,red,NA,NA,NA,pear,NA,NA,fruit,family,animal,NA,NA
test,3,3,3,fraise,strawberry,NA,NA,NA,strawberry,NA,NA,fruit,family,animal,NA,NA
test,3,3,4,Brésil,Brazil,NA,NA,NA,strawberry,NA,NA,fruit,family,animal,NA,NA
test,3,3,5,ours,bear,bear,NA,NA,strawberry,NA,NA,fruit,family,animal,NA,NA
test,3,3,6,frère,brother,bear,NA,NA,strawberry,NA,brother,fruit,family,animal,NA,NA
test,3,3,7,lapin,rabbit,rabbit,NA,NA,strawberry,NA,brother,fruit,family,animal,NA,NA
test,3,3,8,jambe,leg,rabbit,NA,NA,strawberry,NA,brother,fruit,family,animal,NA,NA
test,3,3,9,bras,arm,rabbit,NA,NA,strawberry,NA,brother,fruit,family,animal,NA,NA
